ICON
TECNOSTAMPI DI BANI ELIO - NO CANONE
DOMOLIVING -NO CANONE
BAMAPLAST (00233) - CANONE OK
TT SYSTEM DEMO
MTPLAST
BACCHETTA (00152-00001) - NO CANONE(!)
DOSEURO - NO CANONE
GENERAL PLAST - NO CANONE (!)
ITALPALLET - NO CANONE
BIAGIO ROTONDARO (ROBIAPLAST)
NUNZIA PLAST - NO CANONE
PLASTIAPE
HMMI - HAITIAN MM ITALY
GALLARATI
NUOVA BARDEGGIA - NO CANONE
SAN MARCO ENGINEERING - NO CANONE
PLASTITALIA GROUP
PLASTOCAP
ILAP18
VCM SRL - NO CANONE
ATS SRL (00229) - CANONE OK
SPARTACUS - NO CANONE
DOVARO (DAKOTA)
RIEKE (PLASTIC SRL)
MOTTURA SPA
INDUSTRIALFLEX - NO CANONE
PLASTIN - NO CANONE
RICO SRL
DND MECCANICA
MECCANICA GM (00340)
RAVAGO ITALIA - NO CANONE
STALG V.PALLOTTA
MIRAN SRL
GIMA PLAST - CANONE OK
ARGA PLAST (00248-00008)- NO CANONE (!)
VALEO
FT PLAST - NO CANONE (!)
SILPLAST (TEKNOMAST)
DELTA PLASTIC
PR PLASTIC
B.N. EUROPLASTICS (00230) - CANONE OK
CAPSOL - NO CANONE
ONILOC
GRAFOPLAST
STAMNO ENERGY
ESSEBI
WIKUTEC - NO CANONE
G&G GROUP - NO CANONE
SEAT PLASTIC
ELETTROPLAST (AQUILA)
FLAEM NUOVA SPA - NO CANONE
EUROPLAST SRL - NO CANONE
ARCA SPA (00002-00092) - NO CANONE (!)
ERREPI SRL
GVR SNC
MICOEL
MANART
ELSEA SPA
ISEO PLAST
COLBAM
TECBUS
ZANO-PLAST SRL - NO CANONE
SAPA GROUP
PLAX SPA
GOMAR SRL - NO CANONE (!)
TECNO STAMPI TORINO - NO CANONE
BONOMINI - CANONE OK
FILSIVA - CANONE OK
ARDA (00248-00078) - CANONE (30/04/2024)
EYE COMPONENTS
MECAPLAST - NO CANONE
CORTI ZOOTECNICI
C.A.M.S. SNC - NO CANONE (!)
OFFICINE BOTTA
ECOPLAST - NO CANONE
TOMPLAST
UPLAST  SNC - NO CANONE
OMP SRL
CARTOPLAST BERTESI
VITRANI ACCESSORI - CANONE OK
F.LLI BESOZZI - NO CANONE
EUROTECK SRL
FICOMIRRORS ITALIA S.R.L.
PLAST 3  - NO CANONE
MPM GROUP LTD SRL
ATIS SRL (00196) - CANONE OK
RADAELLI STAMPI
GUARNZIONI INDUSTRIALI_OLD
FUNK FERTIGUNGSTECHNIK GMBH
STAMPLAST
VETRERIA PALMENSE
PREMIUM SOUND SOLUTIONS
FREUDENBERG FILTRATION TECHNOLOGIES
MAXPLA
DELTAPLAST - CANONE (30/04/24)
CRESSI- SUB SPA
ANALISI REPORT / GRAFICI
SOFTNET
HAITIAN POLONIA
GUARNIZIONI INDUSTRIALI
ISI PLAST S.P.A.
KPM SAS - NO CANONE
VENEGONI
KORES
TT MOULDING SRL
TECNOMARK - NO CANONE
FINLAND
I.M.E. STAMPI SNC DI RONDINI E C
MPT  PLASTICA SRL
GALLOTECH - NO CANONE
MAV
LEPLAST
COMER
SEAC SUB
EFFAST - POLYPIPE ITALIA
INTERCONNESSIONI FUORI STANDARD
6 SEI SRL - NO CANONE
DE MARIA INDUSTRIE SRL - NO CANONE
SEMET PROTOTYPEN & IND. GMBH
SISTEMA SRL - NO CANONE
JOINT STAMPI SRL
TECNOPLAST BORDOGNA
BONACINI WILLIAM
GENERAL STAMP SRL (COD. 00356) - NO
UTENSILERIA OSSOLANA SRL
TECNO MOULD SRL
ALCE SAS
PLASTECNICA SRL - NO CANONE
STIPLAST
SOREL PLASTIQUES
INTERPOLIMERI - CANONE (30/04/24)
PURPLE ALTERNATIVE SURFACE
ORELLA SRL ( GRUPPO BARALAN S.P.A.)
F.LLI MANDELLI - NO CANONE
TECNOPOLIMERI
DATAMARS
PLASTICPADANA SYSTEM
IDEAL PLAST SNC - NO CANONE
ASSOPLAST - NO CANONE
TECNOPLASTICA VALTELLINESE
TECNOSTYLE
INTERGRANA
EFFEBI
EGO CONSULTING
IL MERIDIANO SRL
ALFERPLAST
PLASTIC SYSTEM
PMI SRL
TOSCOPLAST SRL (00002-00029)
BIAGIO MANCARELLA
FRIULSIDER
BREVETTI STENDALTO (MONZA)
P CANS
RACETECH  ( O RTECH)
BIDIELLE SRL (BDL)
PLASTIC FOUR SRL
BIPIESSE -  NO CANONE
T.C.M. PLAST
MIOTELLO
C.FALTEC SRL (00357) - CANONE OK
SETT PLAST SAS (S.E T.T)
GENIALPLAST
NOVATEC MX
FUTUR TECH IND. (COMMERCIALE FRANCIA)
PRINSEL
PLASTICAL
ALCHIMIA 2010 SRL
PORTE BLINDATE CASSINO
TECNOPLAST - VISMARA - NO CANONE
WOLFGANG (EX KEBA) COOPERATION
MED TRONIC
FORMAZIONE
BRUNELLI
OVERPLAST
HPFI - HAITIAN PF ITALIA
SMP
EASYPLAST
GITRE
FLAVIO PETRINI & C. SNC
WMT
PLASTEX

N° 2025/346 DEL 23/06/2025
8
